lat,lng,started_at,arrived_at,delivered_at
43.748230,-79.509554,2024-07-01 04:07:51,2024-07-02 21:41:14,2024-07-02 21:42:55
43.767414,-79.411249,2024-07-01 04:14:34,2024-07-02 22:25:02,2024-07-02 22:26:46
43.219592,-79.845963,2024-07-01 04:18:35,2024-07-03 15:09:58,2024-07-03 15:12:45
43.701248,-79.51584,2024-07-01 04:32:56,2024-07-03 01:47:19,2024-07-03 01:52:08
43.636878,-79.432575,2024-07-01 04:45:28,2024-07-02 23:26:59,2024-07-02 23:28:16
44.009827,-79.463524,2024-07-01 11:10:31,2024-07-02 21:34:05,2024-07-02 21:34:57
43.330393,-79.814795,2024-07-01 13:03:03,2024-07-03 00:05:07,2024-07-03 00:05:57
43.657496,-79.374371,2024-07-01 13:04:41,2024-07-02 23:09:42,2024-07-02 23:10:54
43.768617,-79.388066,2024-07-01 13:06:56,2024-07-03 01:34:09,2024-07-03 01:36:54
43.724596,-79.566491,2024-07-01 13:08:49,2024-07-02 23:29:52,2024-07-02 23:30:26
43.599930,-79.663672,2024-07-01 13:09:52,2024-07-03 00:18:13,2024-07-03 00:19:21
43.571741,-79.573415,2024-07-01 13:10:47,2024-07-02 21:17:08,2024-07-02 21:17:29
43.829702,-79.416199,2024-07-01 13:14:39,2024-07-02 20:46:58,2024-07-02 20:47:17
43.751725,-79.752514,2024-07-01 13:16:46,2024-07-02 22:47:35,2024-07-02 22:48:28
43.452604,-79.750424,2024-07-01 13:17:48,2024-07-02 22:08:05,2024-07-02 22:08:46
43.65192,-79.424293,2024-07-01 13:20:27,2024-07-02 22:51:08,2024-07-02 22:53:53
43.634482,-79.721856,2024-07-01 13:30:12,2024-07-03 00:00:38,2024-07-03 00:01:35
43.688030,-79.334435,2024-07-01 13:47:51,2024-07-02 20:37:17,2024-07-02 20:37:50
43.606377,-79.655405,2024-07-01 13:52:30,2024-07-02 22:30:58,2024-07-02 22:32:35
43.484929,-79.724612,2024-07-01 13:53:32,2024-07-02 23:14:05,2024-07-02 23:16:33
43.882900,-79.315497,2024-07-01 13:54:29,2024-07-03 00:18:17,2024-07-03 00:19:11
43.819106,-79.060169,2024-07-01 13:58:10,2024-07-02 21:23:53,2024-07-02 21:27:09
43.582423,-79.679667,2024-07-01 14:04:33,2024-07-03 01:16:37,2024-07-03 01:17:41
43.556310,-79.755535,2024-07-01 14:06:14,2024-07-03 01:08:38,2024-07-03 01:09:34
43.782663,-79.130004,2024-07-01 14:08:44,2024-07-02 23:54:35,2024-07-02 23:55:03
43.657727,-79.504563,2024-07-01 14:10:24,2024-07-02 22:01:40,2024-07-02 22:02:36
